nama_kabupaten_kota,periode_update,kategori,jumlah,sumber
KABUPATEN PACITAN,2020-01,BERAS MEDIUM,8500,kaggle
KABUPATEN PACITAN,2020-01,BERAS PREMIUM,10500,kaggle
KABUPATEN PACITAN,2020-01,GABAH KERING GILING,5500,kaggle
KABUPATEN PACITAN,2020-01,GABAH KERING PANEN,0,kaggle
KABUPATEN PACITAN,2020-01,JAGUNG PIPIL KERING,4200,kaggle
KABUPATEN PACITAN,2020-01,KEDELAI,0,kaggle
KABUPATEN PONOROGO,2020-01,BERAS MEDIUM,8750,kaggle
KABUPATEN PONOROGO,2020-01,BERAS PREMIUM,10500,kaggle
KABUPATEN PONOROGO,2020-01,GABAH KERING GILING,5362,kaggle
KABUPATEN PONOROGO,2020-01,GABAH KERING PANEN,4478,kaggle
KABUPATEN PONOROGO,2020-01,JAGUNG PIPIL KERING,4550,kaggle
KABUPATEN PONOROGO,2020-01,KEDELAI,7380,kaggle
KABUPATEN TRENGGALEK,2020-01,BERAS MEDIUM,8383,kaggle
KABUPATEN TRENGGALEK,2020-01,BERAS PREMIUM,8848,kaggle
KABUPATEN TRENGGALEK,2020-01,GABAH KERING GILING,5558,kaggle
KABUPATEN TRENGGALEK,2020-01,GABAH KERING PANEN,4796,kaggle
KABUPATEN TRENGGALEK,2020-01,JAGUNG PIPIL KERING,4470,kaggle
KABUPATEN TRENGGALEK,2020-01,KEDELAI,6235,kaggle
KABUPATEN TULUNGAGUNG,2020-01,BERAS MEDIUM,8675,kaggle
KABUPATEN TULUNGAGUNG,2020-01,BERAS PREMIUM,9789,kaggle
KABUPATEN TULUNGAGUNG,2020-01,GABAH KERING GILING,5743,kaggle
KABUPATEN TULUNGAGUNG,2020-01,GABAH KERING PANEN,4832,kaggle
KABUPATEN TULUNGAGUNG,2020-01,JAGUNG PIPIL KERING,4365,kaggle
KABUPATEN TULUNGAGUNG,2020-01,KEDELAI,0,kaggle
KOTA BLITAR,2020-01,BERAS MEDIUM,8680,kaggle
KOTA BLITAR,2020-01,BERAS PREMIUM,9768,kaggle
KOTA BLITAR,2020-01,GABAH KERING GILING,5655,kaggle
KOTA BLITAR,2020-01,GABAH KERING PANEN,4700,kaggle
KOTA BLITAR,2020-01,JAGUNG PIPIL KERING,4389,kaggle
KOTA BLITAR,2020-01,KEDELAI,0,kaggle
KOTA KEDIRI,2020-01,BERAS MEDIUM,8704,kaggle
KOTA KEDIRI,2020-01,BERAS PREMIUM,9825,kaggle
KOTA KEDIRI,2020-01,GABAH KERING GILING,5941,kaggle
KOTA KEDIRI,2020-01,GABAH KERING PANEN,5041,kaggle
KOTA KEDIRI,2020-01,JAGUNG PIPIL KERING,4622,kaggle
KOTA KEDIRI,2020-01,KEDELAI,6460,kaggle
KOTA MALANG,2020-01,BERAS MEDIUM,9147,kaggle
KOTA MALANG,2020-01,BERAS PREMIUM,9917,kaggle
KOTA MALANG,2020-01,GABAH KERING GILING,5715,kaggle
KOTA MALANG,2020-01,GABAH KERING PANEN,5088,kaggle
KOTA MALANG,2020-01,JAGUNG PIPIL KERING,4430,kaggle
KOTA MALANG,2020-01,KEDELAI,6947,kaggle
KABUPATEN LUMAJANG,2020-01,BERAS MEDIUM,9000,kaggle
KABUPATEN LUMAJANG,2020-01,BERAS PREMIUM,9500,kaggle
KABUPATEN LUMAJANG,2020-01,GABAH KERING GILING,5853,kaggle
KABUPATEN LUMAJANG,2020-01,GABAH KERING PANEN,4890,kaggle
KABUPATEN LUMAJANG,2020-01,JAGUNG PIPIL KERING,4389,kaggle
KABUPATEN LUMAJANG,2020-01,KEDELAI,0,kaggle
KABUPATEN JEMBER,2020-01,BERAS MEDIUM,8696,kaggle
KABUPATEN JEMBER,2020-01,BERAS PREMIUM,10331,kaggle
KABUPATEN JEMBER,2020-01,GABAH KERING GILING,5500,kaggle
KABUPATEN JEMBER,2020-01,GABAH KERING PANEN,4580,kaggle
KABUPATEN JEMBER,2020-01,JAGUNG PIPIL KERING,4235,kaggle
KABUPATEN JEMBER,2020-01,KEDELAI,6351,kaggle
KABUPATEN BANYUWANGI,2020-01,BERAS MEDIUM,8781,kaggle
KABUPATEN BANYUWANGI,2020-01,BERAS PREMIUM,9643,kaggle
KABUPATEN BANYUWANGI,2020-01,GABAH KERING GILING,5640,kaggle
KABUPATEN BANYUWANGI,2020-01,GABAH KERING PANEN,5040,kaggle
KABUPATEN BANYUWANGI,2020-01,JAGUNG PIPIL KERING,4038,kaggle
KABUPATEN BANYUWANGI,2020-01,KEDELAI,6283,kaggle
KABUPATEN BONDOWOSO,2020-01,BERAS MEDIUM,9114,kaggle
KABUPATEN BONDOWOSO,2020-01,BERAS PREMIUM,10073,kaggle
KABUPATEN BONDOWOSO,2020-01,GABAH KERING GILING,5068,kaggle
KABUPATEN BONDOWOSO,2020-01,GABAH KERING PANEN,4842,kaggle
KABUPATEN BONDOWOSO,2020-01,JAGUNG PIPIL KERING,4439,kaggle
KABUPATEN BONDOWOSO,2020-01,KEDELAI,0,kaggle
KABUPATEN SITUBONDO,2020-01,BERAS MEDIUM,9415,kaggle
KABUPATEN SITUBONDO,2020-01,BERAS PREMIUM,10786,kaggle
KABUPATEN SITUBONDO,2020-01,GABAH KERING GILING,5910,kaggle
KABUPATEN SITUBONDO,2020-01,GABAH KERING PANEN,4810,kaggle
KABUPATEN SITUBONDO,2020-01,JAGUNG PIPIL KERING,4338,kaggle
KABUPATEN SITUBONDO,2020-01,KEDELAI,0,kaggle
KOTA PROBOLINGGO,2020-01,BERAS MEDIUM,8885,kaggle
KOTA PROBOLINGGO,2020-01,BERAS PREMIUM,9740,kaggle
KOTA PROBOLINGGO,2020-01,GABAH KERING GILING,5598,kaggle
KOTA PROBOLINGGO,2020-01,GABAH KERING PANEN,5812,kaggle
KOTA PROBOLINGGO,2020-01,JAGUNG PIPIL KERING,4287,kaggle
KOTA PROBOLINGGO,2020-01,KEDELAI,5710,kaggle
KOTA PASURUAN,2020-01,BERAS MEDIUM,9465,kaggle
KOTA PASURUAN,2020-01,BERAS PREMIUM,9800,kaggle
KOTA PASURUAN,2020-01,GABAH KERING GILING,5795,kaggle
KOTA PASURUAN,2020-01,GABAH KERING PANEN,4760,kaggle
KOTA PASURUAN,2020-01,JAGUNG PIPIL KERING,4492,kaggle
KOTA PASURUAN,2020-01,KEDELAI,0,kaggle
KABUPATEN SIDOARJO,2020-01,BERAS MEDIUM,4400,kaggle
KABUPATEN SIDOARJO,2020-01,BERAS PREMIUM,0,kaggle
KABUPATEN SIDOARJO,2020-01,GABAH KERING GILING,2575,kaggle
KABUPATEN SIDOARJO,2020-01,GABAH KERING PANEN,4650,kaggle
KABUPATEN SIDOARJO,2020-01,JAGUNG PIPIL KERING,0,kaggle
KABUPATEN SIDOARJO,2020-01,KEDELAI,0,kaggle
KOTA MOJOKERTO,2020-01,BERAS MEDIUM,8844,kaggle
KOTA MOJOKERTO,2020-01,BERAS PREMIUM,10000,kaggle
KOTA MOJOKERTO,2020-01,GABAH KERING GILING,5800,kaggle
KOTA MOJOKERTO,2020-01,GABAH KERING PANEN,0,kaggle
KOTA MOJOKERTO,2020-01,JAGUNG PIPIL KERING,0,kaggle
KOTA MOJOKERTO,2020-01,KEDELAI,0,kaggle
KABUPATEN JOMBANG,2020-01,BERAS MEDIUM,8898,kaggle
KABUPATEN JOMBANG,2020-01,BERAS PREMIUM,9600,kaggle
KABUPATEN JOMBANG,2020-01,GABAH KERING GILING,5533,kaggle
KABUPATEN JOMBANG,2020-01,GABAH KERING PANEN,4995,kaggle
KABUPATEN JOMBANG,2020-01,JAGUNG PIPIL KERING,4620,kaggle
KABUPATEN JOMBANG,2020-01,KEDELAI,6420,kaggle
KABUPATEN NGANJUK,2020-01,BERAS MEDIUM,8694,kaggle
KABUPATEN NGANJUK,2020-01,BERAS PREMIUM,10257,kaggle
KABUPATEN NGANJUK,2020-01,GABAH KERING GILING,5842,kaggle
KABUPATEN NGANJUK,2020-01,GABAH KERING PANEN,4861,kaggle
KABUPATEN NGANJUK,2020-01,JAGUNG PIPIL KERING,3843,kaggle
KABUPATEN NGANJUK,2020-01,KEDELAI,6000,kaggle
KOTA MADIUN,2020-01,BERAS MEDIUM,8775,kaggle
KOTA MADIUN,2020-01,BERAS PREMIUM,9200,kaggle
KOTA MADIUN,2020-01,GABAH KERING GILING,5875,kaggle
KOTA MADIUN,2020-01,GABAH KERING PANEN,5050,kaggle
KOTA MADIUN,2020-01,JAGUNG PIPIL KERING,3538,kaggle
KOTA MADIUN,2020-01,KEDELAI,0,kaggle
KABUPATEN MAGETAN,2020-01,BERAS MEDIUM,8800,kaggle
KABUPATEN MAGETAN,2020-01,BERAS PREMIUM,0,kaggle
KABUPATEN MAGETAN,2020-01,GABAH KERING GILING,5643,kaggle
KABUPATEN MAGETAN,2020-01,GABAH KERING PANEN,4628,kaggle
KABUPATEN MAGETAN,2020-01,JAGUNG PIPIL KERING,4950,kaggle
KABUPATEN MAGETAN,2020-01,KEDELAI,0,kaggle
KABUPATEN NGAWI,2020-01,BERAS MEDIUM,7850,kaggle
KABUPATEN NGAWI,2020-01,BERAS PREMIUM,9800,kaggle
KABUPATEN NGAWI,2020-01,GABAH KERING GILING,1400,kaggle
KABUPATEN NGAWI,2020-01,GABAH KERING PANEN,4900,kaggle
KABUPATEN NGAWI,2020-01,JAGUNG PIPIL KERING,4500,kaggle
KABUPATEN NGAWI,2020-01,KEDELAI,6500,kaggle
KABUPATEN BOJONEGORO,2020-01,BERAS MEDIUM,9000,kaggle
KABUPATEN BOJONEGORO,2020-01,BERAS PREMIUM,10000,kaggle
KABUPATEN BOJONEGORO,2020-01,GABAH KERING GILING,5900,kaggle
KABUPATEN BOJONEGORO,2020-01,GABAH KERING PANEN,5083,kaggle
KABUPATEN BOJONEGORO,2020-01,JAGUNG PIPIL KERING,4600,kaggle
KABUPATEN BOJONEGORO,2020-01,KEDELAI,6600,kaggle
KABUPATEN TUBAN,2020-01,BERAS MEDIUM,8676,kaggle
KABUPATEN TUBAN,2020-01,BERAS PREMIUM,10300,kaggle
KABUPATEN TUBAN,2020-01,GABAH KERING GILING,5848,kaggle
KABUPATEN TUBAN,2020-01,GABAH KERING PANEN,4994,kaggle
KABUPATEN TUBAN,2020-01,JAGUNG PIPIL KERING,4520,kaggle
KABUPATEN TUBAN,2020-01,KEDELAI,6500,kaggle
KABUPATEN LAMONGAN,2020-01,BERAS MEDIUM,9141,kaggle
KABUPATEN LAMONGAN,2020-01,BERAS PREMIUM,10102,kaggle
KABUPATEN LAMONGAN,2020-01,GABAH KERING GILING,5627,kaggle
KABUPATEN LAMONGAN,2020-01,GABAH KERING PANEN,4764,kaggle
KABUPATEN LAMONGAN,2020-01,JAGUNG PIPIL KERING,4091,kaggle
KABUPATEN LAMONGAN,2020-01,KEDELAI,6437,kaggle
KABUPATEN GRESIK,2020-01,BERAS MEDIUM,8964,kaggle
KABUPATEN GRESIK,2020-01,BERAS PREMIUM,10200,kaggle
KABUPATEN GRESIK,2020-01,GABAH KERING GILING,0,kaggle
KABUPATEN GRESIK,2020-01,GABAH KERING PANEN,0,kaggle
KABUPATEN GRESIK,2020-01,JAGUNG PIPIL KERING,0,kaggle
KABUPATEN GRESIK,2020-01,KEDELAI,0,kaggle
KABUPATEN BANGKALAN,2020-01,BERAS MEDIUM,8869,kaggle
KABUPATEN BANGKALAN,2020-01,BERAS PREMIUM,10464,kaggle
KABUPATEN BANGKALAN,2020-01,GABAH KERING GILING,5500,kaggle
KABUPATEN BANGKALAN,2020-01,GABAH KERING PANEN,4700,kaggle
KABUPATEN BANGKALAN,2020-01,JAGUNG PIPIL KERING,4590,kaggle
KABUPATEN BANGKALAN,2020-01,KEDELAI,0,kaggle
KABUPATEN SAMPANG,2020-01,BERAS MEDIUM,7650,kaggle
KABUPATEN SAMPANG,2020-01,BERAS PREMIUM,0,kaggle
KABUPATEN SAMPANG,2020-01,GABAH KERING GILING,0,kaggle
KABUPATEN SAMPANG,2020-01,GABAH KERING PANEN,0,kaggle
KABUPATEN SAMPANG,2020-01,JAGUNG PIPIL KERING,4760,kaggle
KABUPATEN SAMPANG,2020-01,KEDELAI,0,kaggle
KABUPATEN PAMEKASAN,2020-01,BERAS MEDIUM,9000,kaggle
KABUPATEN PAMEKASAN,2020-01,BERAS PREMIUM,8000,kaggle
KABUPATEN PAMEKASAN,2020-01,GABAH KERING GILING,4600,kaggle
KABUPATEN PAMEKASAN,2020-01,GABAH KERING PANEN,0,kaggle
KABUPATEN PAMEKASAN,2020-01,JAGUNG PIPIL KERING,4050,kaggle
KABUPATEN PAMEKASAN,2020-01,KEDELAI,5400,kaggle
KABUPATEN SUMENEP,2020-01,BERAS MEDIUM,0,kaggle
KABUPATEN SUMENEP,2020-01,BERAS PREMIUM,0,kaggle
KABUPATEN SUMENEP,2020-01,GABAH KERING GILING,4125,kaggle
KABUPATEN SUMENEP,2020-01,GABAH KERING PANEN,0,kaggle
KABUPATEN SUMENEP,2020-01,JAGUNG PIPIL KERING,4500,kaggle
KABUPATEN SUMENEP,2020-01,KEDELAI,5750,kaggle
KOTA KEDIRI,2020-01,BERAS MEDIUM,8721,kaggle
KOTA KEDIRI,2020-01,BERAS PREMIUM,0,kaggle
KOTA KEDIRI,2020-01,GABAH KERING GILING,0,kaggle
KOTA KEDIRI,2020-01,GABAH KERING PANEN,0,kaggle
KOTA KEDIRI,2020-01,JAGUNG PIPIL KERING,0,kaggle
KOTA KEDIRI,2020-01,KEDELAI,0,kaggle
KOTA BLITAR,2020-01,BERAS MEDIUM,9789,kaggle
KOTA BLITAR,2020-01,BERAS PREMIUM,9790,kaggle
KOTA BLITAR,2020-01,GABAH KERING GILING,0,kaggle
KOTA BLITAR,2020-01,GABAH KERING PANEN,0,kaggle
KOTA BLITAR,2020-01,JAGUNG PIPIL KERING,4376,kaggle
KOTA BLITAR,2020-01,KEDELAI,0,kaggle
KOTA MALANG,2020-01,BERAS MEDIUM,17300,kaggle
KOTA MALANG,2020-01,BERAS PREMIUM,8088,kaggle
KOTA MALANG,2020-01,GABAH KERING GILING,5878,kaggle
KOTA MALANG,2020-01,GABAH KERING PANEN,5128,kaggle
KOTA MALANG,2020-01,JAGUNG PIPIL KERING,4556,kaggle
KOTA MALANG,2020-01,KEDELAI,0,kaggle
KOTA PROBOLINGGO,2020-01,BERAS MEDIUM,8800,kaggle
KOTA PROBOLINGGO,2020-01,BERAS PREMIUM,0,kaggle
KOTA PROBOLINGGO,2020-01,GABAH KERING GILING,0,kaggle
KOTA PROBOLINGGO,2020-01,GABAH KERING PANEN,0,kaggle
KOTA PROBOLINGGO,2020-01,JAGUNG PIPIL KERING,4374,kaggle
KOTA PROBOLINGGO,2020-01,KEDELAI,0,kaggle
KOTA PASURUAN,2020-01,BERAS MEDIUM,8800,kaggle
KOTA PASURUAN,2020-01,BERAS PREMIUM,0,kaggle
KOTA PASURUAN,2020-01,GABAH KERING GILING,0,kaggle
KOTA PASURUAN,2020-01,GABAH KERING PANEN,0,kaggle
KOTA PASURUAN,2020-01,JAGUNG PIPIL KERING,0,kaggle
KOTA PASURUAN,2020-01,KEDELAI,0,kaggle
KOTA MOJOKERTO,2020-01,BERAS MEDIUM,8500,kaggle
KOTA MOJOKERTO,2020-01,BERAS PREMIUM,0,kaggle
KOTA MOJOKERTO,2020-01,GABAH KERING GILING,0,kaggle
KOTA MOJOKERTO,2020-01,GABAH KERING PANEN,0,kaggle
KOTA MOJOKERTO,2020-01,JAGUNG PIPIL KERING,0,kaggle
KOTA MOJOKERTO,2020-01,KEDELAI,0,kaggle
KOTA MADIUN,2020-01,BERAS MEDIUM,11071,kaggle
KOTA MADIUN,2020-01,BERAS PREMIUM,9200,kaggle
KOTA MADIUN,2020-01,GABAH KERING GILING,5600,kaggle
KOTA MADIUN,2020-01,GABAH KERING PANEN,5000,kaggle
KOTA MADIUN,2020-01,JAGUNG PIPIL KERING,0,kaggle
KOTA MADIUN,2020-01,KEDELAI,0,kaggle
KOTA SURABAYA,2020-01,BERAS MEDIUM,0,kaggle
KOTA SURABAYA,2020-01,BERAS PREMIUM,12336,kaggle
KOTA SURABAYA,2020-01,GABAH KERING GILING,0,kaggle
KOTA SURABAYA,2020-01,GABAH KERING PANEN,0,kaggle
KOTA SURABAYA,2020-01,JAGUNG PIPIL KERING,8198,kaggle
KOTA SURABAYA,2020-01,KEDELAI,8181,kaggle
KOTA BATU,2020-01,BERAS MEDIUM,0,kaggle
KOTA BATU,2020-01,BERAS PREMIUM,11000,kaggle
KOTA BATU,2020-01,GABAH KERING GILING,6000,kaggle
KOTA BATU,2020-01,GABAH KERING PANEN,0,kaggle
KOTA BATU,2020-01,JAGUNG PIPIL KERING,4500,kaggle
KOTA BATU,2020-01,KEDELAI,0,kaggle
KABUPATEN PACITAN,2020-02,BERAS MEDIUM,8500,kaggle
KABUPATEN PACITAN,2020-02,BERAS PREMIUM,10500,kaggle
KABUPATEN PACITAN,2020-02,GABAH KERING GILING,5500,kaggle
KABUPATEN PACITAN,2020-02,GABAH KERING PANEN,0,kaggle
KABUPATEN PACITAN,2020-02,JAGUNG PIPIL KERING,4287,kaggle
KABUPATEN PACITAN,2020-02,KEDELAI,0,kaggle
KABUPATEN PONOROGO,2020-02,BERAS MEDIUM,8838,kaggle
KABUPATEN PONOROGO,2020-02,BERAS PREMIUM,10500,kaggle
KABUPATEN PONOROGO,2020-02,GABAH KERING GILING,5288,kaggle
KABUPATEN PONOROGO,2020-02,GABAH KERING PANEN,4590,kaggle
KABUPATEN PONOROGO,2020-02,JAGUNG PIPIL KERING,4165,kaggle
KABUPATEN PONOROGO,2020-02,KEDELAI,7400,kaggle
KABUPATEN TRENGGALEK,2020-02,BERAS MEDIUM,8250,kaggle
KABUPATEN TRENGGALEK,2020-02,BERAS PREMIUM,8600,kaggle
KABUPATEN TRENGGALEK,2020-02,GABAH KERING GILING,5525,kaggle
KABUPATEN TRENGGALEK,2020-02,GABAH KERING PANEN,4500,kaggle
KABUPATEN TRENGGALEK,2020-02,JAGUNG PIPIL KERING,4494,kaggle
KABUPATEN TRENGGALEK,2020-02,KEDELAI,5800,kaggle
KABUPATEN TULUNGAGUNG,2020-02,BERAS MEDIUM,8816,kaggle
KABUPATEN TULUNGAGUNG,2020-02,BERAS PREMIUM,9975,kaggle
KABUPATEN TULUNGAGUNG,2020-02,GABAH KERING GILING,5720,kaggle
KABUPATEN TULUNGAGUNG,2020-02,GABAH KERING PANEN,4768,kaggle
KABUPATEN TULUNGAGUNG,2020-02,JAGUNG PIPIL KERING,4285,kaggle
KABUPATEN TULUNGAGUNG,2020-02,KEDELAI,0,kaggle
KOTA BLITAR,2020-02,BERAS MEDIUM,8631,kaggle
KOTA BLITAR,2020-02,BERAS PREMIUM,9708,kaggle
KOTA BLITAR,2020-02,GABAH KERING GILING,5603,kaggle
KOTA BLITAR,2020-02,GABAH KERING PANEN,2390,kaggle
KOTA BLITAR,2020-02,JAGUNG PIPIL KERING,4345,kaggle
KOTA BLITAR,2020-02,KEDELAI,0,kaggle
KOTA KEDIRI,2020-02,BERAS MEDIUM,8800,kaggle
KOTA KEDIRI,2020-02,BERAS PREMIUM,10500,kaggle
KOTA KEDIRI,2020-02,GABAH KERING GILING,5920,kaggle
KOTA KEDIRI,2020-02,GABAH KERING PANEN,4775,kaggle
KOTA KEDIRI,2020-02,JAGUNG PIPIL KERING,4525,kaggle
KOTA KEDIRI,2020-02,KEDELAI,6800,kaggle
KOTA MALANG,2020-02,BERAS MEDIUM,9300,kaggle
KOTA MALANG,2020-02,BERAS PREMIUM,9985,kaggle
KOTA MALANG,2020-02,GABAH KERING GILING,5785,kaggle
KOTA MALANG,2020-02,GABAH KERING PANEN,5000,kaggle
KOTA MALANG,2020-02,JAGUNG PIPIL KERING,4500,kaggle
KOTA MALANG,2020-02,KEDELAI,6985,kaggle
KABUPATEN LUMAJANG,2020-02,BERAS MEDIUM,9050,kaggle
KABUPATEN LUMAJANG,2020-02,BERAS PREMIUM,9600,kaggle
KABUPATEN LUMAJANG,2020-02,GABAH KERING GILING,5867,kaggle
KABUPATEN LUMAJANG,2020-02,GABAH KERING PANEN,4887,kaggle
KABUPATEN LUMAJANG,2020-02,JAGUNG PIPIL KERING,4636,kaggle
KABUPATEN LUMAJANG,2020-02,KEDELAI,0,kaggle
KABUPATEN JEMBER,2020-02,BERAS MEDIUM,8655,kaggle
KABUPATEN JEMBER,2020-02,BERAS PREMIUM,10230,kaggle
KABUPATEN JEMBER,2020-02,GABAH KERING GILING,5610,kaggle
KABUPATEN JEMBER,2020-02,GABAH KERING PANEN,4710,kaggle
KABUPATEN JEMBER,2020-02,JAGUNG PIPIL KERING,4240,kaggle
KABUPATEN JEMBER,2020-02,KEDELAI,6520,kaggle
KABUPATEN BANYUWANGI,2020-02,BERAS MEDIUM,6885,kaggle
KABUPATEN BANYUWANGI,2020-02,BERAS PREMIUM,10000,kaggle
KABUPATEN BANYUWANGI,2020-02,GABAH KERING GILING,5700,kaggle
KABUPATEN BANYUWANGI,2020-02,GABAH KERING PANEN,5025,kaggle
KABUPATEN BANYUWANGI,2020-02,JAGUNG PIPIL KERING,4573,kaggle
KABUPATEN BANYUWANGI,2020-02,KEDELAI,5080,kaggle
KABUPATEN BONDOWOSO,2020-02,BERAS MEDIUM,8613,kaggle
KABUPATEN BONDOWOSO,2020-02,BERAS PREMIUM,10013,kaggle
KABUPATEN BONDOWOSO,2020-02,GABAH KERING GILING,4981,kaggle
KABUPATEN BONDOWOSO,2020-02,GABAH KERING PANEN,4449,kaggle
KABUPATEN BONDOWOSO,2020-02,JAGUNG PIPIL KERING,4200,kaggle
KABUPATEN BONDOWOSO,2020-02,KEDELAI,0,kaggle
KABUPATEN SITUBONDO,2020-02,BERAS MEDIUM,9400,kaggle
KABUPATEN SITUBONDO,2020-02,BERAS PREMIUM,10400,kaggle
KABUPATEN SITUBONDO,2020-02,GABAH KERING GILING,5800,kaggle
KABUPATEN SITUBONDO,2020-02,GABAH KERING PANEN,4840,kaggle
KABUPATEN SITUBONDO,2020-02,JAGUNG PIPIL KERING,4365,kaggle
KABUPATEN SITUBONDO,2020-02,KEDELAI,0,kaggle
KOTA PROBOLINGGO,2020-02,BERAS MEDIUM,9165,kaggle
KOTA PROBOLINGGO,2020-02,BERAS PREMIUM,10075,kaggle
KOTA PROBOLINGGO,2020-02,GABAH KERING GILING,5660,kaggle
KOTA PROBOLINGGO,2020-02,GABAH KERING PANEN,4915,kaggle
KOTA PROBOLINGGO,2020-02,JAGUNG PIPIL KERING,4625,kaggle
KOTA PROBOLINGGO,2020-02,KEDELAI,0,kaggle
KOTA PASURUAN,2020-02,BERAS MEDIUM,8975,kaggle
KOTA PASURUAN,2020-02,BERAS PREMIUM,9775,kaggle
KOTA PASURUAN,2020-02,GABAH KERING GILING,5625,kaggle
KOTA PASURUAN,2020-02,GABAH KERING PANEN,4425,kaggle
KOTA PASURUAN,2020-02,JAGUNG PIPIL KERING,4383,kaggle
KOTA PASURUAN,2020-02,KEDELAI,0,kaggle
KABUPATEN SIDOARJO,2020-02,BERAS MEDIUM,0,kaggle
KABUPATEN SIDOARJO,2020-02,BERAS PREMIUM,0,kaggle
KABUPATEN SIDOARJO,2020-02,GABAH KERING GILING,5100,kaggle
KABUPATEN SIDOARJO,2020-02,GABAH KERING PANEN,4100,kaggle
KABUPATEN SIDOARJO,2020-02,JAGUNG PIPIL KERING,0,kaggle
KABUPATEN SIDOARJO,2020-02,KEDELAI,0,kaggle
KOTA MOJOKERTO,2020-02,BERAS MEDIUM,9038,kaggle
KOTA MOJOKERTO,2020-02,BERAS PREMIUM,0,kaggle
KOTA MOJOKERTO,2020-02,GABAH KERING GILING,5875,kaggle
KOTA MOJOKERTO,2020-02,GABAH KERING PANEN,4675,kaggle
KOTA MOJOKERTO,2020-02,JAGUNG PIPIL KERING,0,kaggle
KOTA MOJOKERTO,2020-02,KEDELAI,0,kaggle
KABUPATEN JOMBANG,2020-02,BERAS MEDIUM,9000,kaggle
KABUPATEN JOMBANG,2020-02,BERAS PREMIUM,9875,kaggle
KABUPATEN JOMBANG,2020-02,GABAH KERING GILING,5553,kaggle
KABUPATEN JOMBANG,2020-02,GABAH KERING PANEN,5016,kaggle
KABUPATEN JOMBANG,2020-02,JAGUNG PIPIL KERING,4800,kaggle
KABUPATEN JOMBANG,2020-02,KEDELAI,6405,kaggle
KABUPATEN NGANJUK,2020-02,BERAS MEDIUM,8700,kaggle
KABUPATEN NGANJUK,2020-02,BERAS PREMIUM,10500,kaggle
KABUPATEN NGANJUK,2020-02,GABAH KERING GILING,5775,kaggle
KABUPATEN NGANJUK,2020-02,GABAH KERING PANEN,4733,kaggle
KABUPATEN NGANJUK,2020-02,JAGUNG PIPIL KERING,3900,kaggle
KABUPATEN NGANJUK,2020-02,KEDELAI,6000,kaggle
KOTA MADIUN,2020-02,BERAS MEDIUM,0,kaggle
KOTA MADIUN,2020-02,BERAS PREMIUM,0,kaggle
KOTA MADIUN,2020-02,GABAH KERING GILING,0,kaggle
KOTA MADIUN,2020-02,GABAH KERING PANEN,4400,kaggle
KOTA MADIUN,2020-02,JAGUNG PIPIL KERING,0,kaggle
KOTA MADIUN,2020-02,KEDELAI,0,kaggle
KABUPATEN MAGETAN,2020-02,BERAS MEDIUM,8800,kaggle
KABUPATEN MAGETAN,2020-02,BERAS PREMIUM,0,kaggle
KABUPATEN MAGETAN,2020-02,GABAH KERING GILING,5438,kaggle
KABUPATEN MAGETAN,2020-02,GABAH KERING PANEN,4700,kaggle
KABUPATEN MAGETAN,2020-02,JAGUNG PIPIL KERING,5000,kaggle
KABUPATEN MAGETAN,2020-02,KEDELAI,0,kaggle
KABUPATEN NGAWI,2020-02,BERAS MEDIUM,0,kaggle
KABUPATEN NGAWI,2020-02,BERAS PREMIUM,0,kaggle
KABUPATEN NGAWI,2020-02,GABAH KERING GILING,0,kaggle
KABUPATEN NGAWI,2020-02,GABAH KERING PANEN,4400,kaggle
KABUPATEN NGAWI,2020-02,JAGUNG PIPIL KERING,0,kaggle
KABUPATEN NGAWI,2020-02,KEDELAI,0,kaggle
KABUPATEN BOJONEGORO,2020-02,BERAS MEDIUM,9000,kaggle
KABUPATEN BOJONEGORO,2020-02,BERAS PREMIUM,10000,kaggle
KABUPATEN BOJONEGORO,2020-02,GABAH KERING GILING,5872,kaggle
KABUPATEN BOJONEGORO,2020-02,GABAH KERING PANEN,4893,kaggle
KABUPATEN BOJONEGORO,2020-02,JAGUNG PIPIL KERING,4405,kaggle
KABUPATEN BOJONEGORO,2020-02,KEDELAI,6600,kaggle
KABUPATEN TUBAN,2020-02,BERAS MEDIUM,8741,kaggle
KABUPATEN TUBAN,2020-02,BERAS PREMIUM,9875,kaggle
KABUPATEN TUBAN,2020-02,GABAH KERING GILING,5810,kaggle
KABUPATEN TUBAN,2020-02,GABAH KERING PANEN,4680,kaggle
KABUPATEN TUBAN,2020-02,JAGUNG PIPIL KERING,4315,kaggle
KABUPATEN TUBAN,2020-02,KEDELAI,6650,kaggle
KABUPATEN LAMONGAN,2020-02,BERAS MEDIUM,8885,kaggle
KABUPATEN LAMONGAN,2020-02,BERAS PREMIUM,9950,kaggle
KABUPATEN LAMONGAN,2020-02,GABAH KERING GILING,5678,kaggle
KABUPATEN LAMONGAN,2020-02,GABAH KERING PANEN,4625,kaggle
KABUPATEN LAMONGAN,2020-02,JAGUNG PIPIL KERING,4323,kaggle
KABUPATEN LAMONGAN,2020-02,KEDELAI,6470,kaggle
KABUPATEN GRESIK,2020-02,BERAS MEDIUM,9000,kaggle
KABUPATEN GRESIK,2020-02,BERAS PREMIUM,10200,kaggle
KABUPATEN GRESIK,2020-02,GABAH KERING GILING,0,kaggle
